City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Kokopo,PG,83.95,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
627,Vanimo,PG,83.84,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
630,Waingapu,ID,82.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
641,Negombo,LK,75.25,few clouds,7.2083,79.8358,Hotel Sunset Beach
645,Hobyo,SO,75.42,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
656,Klang,MY,75.34,few clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
659,Simbahan,PH,80.28,overcast clouds,6.3032,120.5836,
662,Mitsamiouli,KM,81.39,light rain,-11.3847,43.2844,Foyer ADM
665,Escarcega,MX,76.5,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
670,El Rosario,MX,77.2,clear sky,24.2556,-107.1828,Mi casa
678,Thinadhoo,MV,81.46,overcast clouds,0.5333,72.9333,
679,Madimba,TZ,76.59,moderate rain,-10.4,40.3333,
687,Luwuk,ID,82.63,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
693,Bentiu,SS,75.54,broken clouds,9.2333,29.8333,Mandela hôtel
698,Bucerias,MX,75.97,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
700,Porto Belo,BR,78.78,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
704,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
