City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Katherine,AU,-14.4667,132.2667,79.12,89,97,5.75,overcast clouds
69,Cape Town,ZA,-33.9258,18.4232,65.88,58,0,5.99,clear sky
70,Vaini,TO,-21.2,-175.2,77.16,100,100,11.5,light rain
71,Kaduna,NG,10.5222,7.4383,66.25,14,0,9.4,clear sky
72,Isangel,VU,-19.55,169.2667,77.11,94,100,2.3,moderate rain
73,Carnarvon,AU,-24.8667,113.6333,80.67,50,76,8.05,broken clouds
74,Hilo,US,19.7297,-155.09,80.62,70,100,0.0,overcast clouds
75,Bugalagrande,CO,4.2121,-76.1556,67.12,86,89,3.24,overcast clouds
76,Jamestown,US,42.097,-79.2353,20.52,66,100,1.99,overcast clouds
77,Genthin,DE,52.4,12.1667,40.71,96,100,16.93,overcast clouds
78,Barrow,US,71.2906,-156.7887,-21.98,69,100,10.36,haze
79,Grindavik,IS,63.8424,-22.4338,27.07,63,100,17.27,overcast clouds
80,Sao Filipe,CV,14.8961,-24.4956,73.78,71,0,6.76,clear sky
81,Bosaso,SO,11.2842,49.1816,72.63,55,5,3.49,clear sky
82,Hobart,AU,-42.8794,147.3294,67.01,78,100,2.3,overcast clouds
83,Sorland,NO,67.667,12.6934,31.87,71,70,27.09,broken clouds
84,Lavrentiya,RU,65.5833,-171.0,-4.54,73,0,6.67,clear sky
85,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,20.71,few clouds
86,Castro,BR,-24.7911,-50.0119,66.15,96,96,4.99,overcast clouds
87,Provideniya,RU,64.3833,-173.3,3.63,59,0,12.93,clear sky
88,Lompoc,US,34.6391,-120.4579,69.21,41,0,8.05,clear sky
89,Felanitx,ES,39.4696,3.1483,54.95,89,100,5.55,overcast clouds
90,Mendi,PG,-6.1761,143.6513,62.56,72,100,1.66,overcast clouds
91,Airai,TL,-8.9266,125.4092,64.67,80,86,1.45,overcast clouds
92,Ancud,CL,-41.8697,-73.8203,63.43,74,83,4.38,broken clouds
93,Punjai Puliyampatti,IN,11.35,77.2,70.84,71,43,3.15,scattered clouds
94,Stony Plain,CA,53.5334,-114.0021,19.85,73,100,6.91,overcast clouds
95,Araguaina,BR,-7.1911,-48.2072,77.54,85,46,3.85,moderate rain
96,Sadovyy,RU,53.3,34.3333,21.76,73,98,4.47,overcast clouds
97,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,14.97,clear sky
98,Cayenne,GF,4.9333,-52.3333,79.09,88,75,4.0,broken clouds
99,Mancora,PE,-4.1078,-81.0475,77.83,64,17,15.93,few clouds
100,Butaritari,KI,3.0707,172.7902,82.65,75,17,18.28,few clouds
101,Santa Marta,CO,11.2408,-74.199,87.35,62,20,15.01,few clouds
102,Bandarbeyla,SO,9.4942,50.8122,73.24,72,1,8.16,clear sky
103,Port Lavaca,US,28.615,-96.6261,43.12,68,0,18.41,clear sky
104,Uige,AO,-7.6087,15.0613,64.74,94,56,2.26,broken clouds
105,Nanzhang,CN,31.7765,111.8386,35.92,74,8,1.77,clear sky
106,Tomatlan,MX,19.9333,-105.25,85.6,38,5,10.16,clear sky
107,Yar-Sale,RU,66.8333,70.8333,6.04,96,100,5.99,overcast clouds
108,Tabou,CI,4.423,-7.3528,79.86,82,8,7.11,clear sky
109,Hermanus,ZA,-34.4187,19.2345,62.8,68,0,18.99,clear sky
110,Cockburn Town,TC,21.4612,-71.1419,75.16,60,40,11.5,scattered clouds
111,Mkushi,ZM,-13.6202,29.3939,61.75,98,100,3.53,overcast clouds
112,Dikson,RU,73.5069,80.5464,-3.3,95,100,6.73,overcast clouds
113,Broken Hill,AU,-31.95,141.4333,73.11,40,96,19.57,overcast clouds
114,Teguise,ES,29.0605,-13.564,62.82,68,0,9.22,clear sky
115,Batagay-Alyta,RU,67.8006,130.4114,-26.63,98,10,2.84,clear sky
116,Sakaiminato,JP,35.55,133.2333,33.78,80,75,19.57,broken clouds
117,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,8.05,clear sky
118,Sakakah,SA,29.9697,40.2064,49.57,68,18,13.69,few clouds
119,Alofi,NU,-19.0595,-169.9187,82.29,83,100,9.22,overcast clouds
120,Nome,US,64.5011,-165.4064,6.87,51,0,13.8,clear sky
121,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,40,3.44,scattered clouds
122,Hami,CN,42.8,93.45,22.93,36,85,2.84,overcast clouds
123,Rumonge,BI,-3.9736,29.4386,69.39,90,100,1.7,light rain
124,Qom,IR,34.6401,50.8764,48.22,45,0,7.2,clear sky
125,Georgetown,MY,5.4112,100.3354,78.73,92,40,2.3,scattered clouds
126,Parlakimidi,IN,18.7667,84.0833,65.23,80,7,5.5,clear sky
127,Ban Phai,TH,16.06,102.731,71.13,65,61,11.1,broken clouds
128,Hithadhoo,MV,-0.6,73.0833,81.52,74,82,11.41,broken clouds
129,Kailua,US,21.4022,-157.7394,82.08,59,0,8.05,clear sky
130,Esperance,AU,-33.8667,121.9,67.84,70,2,15.03,clear sky
131,Bambanglipuro,ID,-7.95,110.2833,76.26,87,90,4.18,overcast clouds
132,Rawlins,US,41.7911,-107.2387,32.22,40,0,10.36,clear sky
133,Port Alfred,ZA,-33.5906,26.891,68.54,80,100,7.0,overcast clouds
134,Sunrise Manor,US,36.2111,-115.0731,57.92,19,0,13.8,clear sky
135,Cidreira,BR,-30.1811,-50.2056,72.37,93,100,5.48,overcast clouds
136,Butembo,CD,0.15,29.2833,62.49,68,100,2.68,overcast clouds
137,Samarai,PG,-10.6167,150.6667,83.97,73,87,8.1,overcast clouds
138,Winchester,GB,51.0651,-1.3187,41.49,84,75,4.0,broken clouds
139,Quatre Cocos,MU,-20.2078,57.7625,79.09,87,100,17.38,light rain
140,Kwinana,AU,-32.25,115.7667,85.17,70,0,5.44,clear sky
141,Paamiut,GL,61.994,-49.6678,7.0,91,100,7.76,light snow
142,Rocha,UY,-34.4833,-54.3333,67.93,91,20,6.13,few clouds
143,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,12.66,scattered clouds
144,Hay River,CA,60.8156,-115.7999,-16.62,69,75,6.91,broken clouds
145,Yulara,AU,-25.2406,130.9889,73.24,38,0,13.8,clear sky
146,Sahuaripa,MX,29.05,-109.2333,68.85,20,0,9.66,clear sky
147,Klaksvik,FO,62.2266,-6.589,36.52,53,93,34.92,overcast clouds
